Document,Topic,Weight
1031,2,0.90002847
1032,0,0.86362875
1033,0,0.7024523
1034,0,0.578422
1035,0,0.89925456
1036,0,0.68852985
1037,2,0.88140035
1038,0,0.8811926
1039,1,0.9025091
1040,2,0.5228764
1041,2,0.8891469
1042,1,0.8608226
1043,0,0.8797063
1044,0,0.6512693
1045,2,0.65159523
1046,0,0.8839972
1047,1,0.8626981
1048,0,0.47122395
1049,0,0.8525718
1050,1,0.90908223
1051,1,0.8644789
1052,0,0.5401193
1053,2,0.9099712
1054,0,0.92340475
1055,0,0.67283034
1056,0,0.5903227
1057,3,0.51183474
1058,0,0.67322946
1059,0,0.54536533
1060,0,0.49657467
1061,0,0.44967914
1062,3,0.8761043
1063,2,0.5634376
1064,0,0.8727999
1065,3,0.89386964
1066,2,0.89364433
1067,2,0.77751195
1068,0,0.8985826
1069,0,0.8985914
1070,0,0.84025615
1071,2,0.7575555
1072,1,0.6615915
1073,1,0.91677225
1074,0,0.8580767
1075,3,0.6149301
1076,1,0.6165358
1077,0,0.78675073
1078,0,0.8939136
1079,2,0.8506372
1080,1,0.8876011
1081,2,0.6763416
1082,3,0.76711154
1083,1,0.5303378
1084,1,0.8835947
1085,0,0.90503854
1086,2,0.884105
1087,0,0.68878263
1088,1,0.89889044
1089,3,0.8466743
1090,0,0.6736376
1091,1,0.90356386
1092,1,0.8764406
1093,0,0.89079046
1094,1,0.88126105
1095,2,0.53506655
1096,0,0.6115462
1097,0,0.8720424
1098,0,0.9171638
1099,1,0.85815006
1100,1,0.91277677
1101,1,0.83880764
1102,0,0.87923145
1103,0,0.86724657
1104,2,0.8621978
1105,3,0.4720396
1106,0,0.90722096
1107,2,0.89816636
1108,0,0.64504385
1109,0,0.7697078
1110,1,0.75368154
1111,1,0.8886258
1112,1,0.8890846
1113,0,0.46363837
1114,2,0.89351255
1115,3,0.87888336
1116,1,0.4874537
1117,1,0.5746047
1118,0,0.8815117
1119,1,0.8856664
1120,2,0.9309607
1121,1,0.8392723
1122,0,0.54563534
1123,1,0.91564333
1124,2,0.86774635
1125,2,0.4701142
1126,1,0.9036427
1127,1,0.91452
1128,0,0.68632716
1129,0,0.91323686
1130,0,0.6523934
1131,1,0.9229311
1132,1,0.7352599
1133,1,0.8700047
1134,0,0.53807193
1135,1,0.85908145
1136,3,0.43504843
1137,1,0.49353358
1138,0,0.86127573
1139,0,0.8765232
1140,0,0.5915493
1141,0,0.8965777
1142,1,0.85073537
1143,1,0.90437996
1144,0,0.9172909
1145,0,0.7449729
1146,1,0.88994586
1147,1,0.58534914
1148,1,0.8543805
1149,0,0.51480883
1150,0,0.8873827
1151,1,0.8799883
1152,0,0.9160263
1153,1,0.91300476
1154,0,0.72012335
1155,0,0.5830064
1156,0,0.8614129
1157,2,0.62295574
1158,0,0.9142851
1159,0,0.8504949
1160,0,0.57359904
1161,1,0.8787016
1162,0,0.85069317
1163,1,0.39469993
1164,0,0.7702854
1165,3,0.53960085
1166,1,0.7118781
1167,0,0.903557
1168,2,0.8907777
1169,0,0.63737917
1170,1,0.84008855
1171,0,0.52735436
1172,1,0.6208666
1173,2,0.53016716
1174,1,0.89056367
1175,1,0.88164836
1176,1,0.6316215
1177,1,0.8316946
1178,1,0.9099341
1179,1,0.79401815
1180,0,0.8939663
1181,1,0.77657187
1182,0,0.8828926
1183,1,0.91085684
1184,2,0.59049743
1185,2,0.66923356
1186,2,0.91143787
1187,0,0.88070965
1188,3,0.69863087
1189,1,0.91657734
1190,3,0.6000416
1191,0,0.90820473
1192,1,0.90883565
1193,0,0.594011
1194,0,0.7821706
1195,3,0.8543566
1196,0,0.50285476
1197,0,0.5782754
1198,2,0.9139891
1199,2,0.5079579
1200,2,0.91608
1201,2,0.9144356
1202,1,0.5273221
1203,1,0.57057875
1204,1,0.47332928
1205,3,0.46127367
1206,1,0.59902185
1207,0,0.8289441
1208,3,0.6715426
1209,0,0.8727575
1210,1,0.6205154
1211,0,0.8390016
1212,0,0.55883795
1213,0,0.90400976
1214,1,0.68967056
1215,3,0.87016386
1216,1,0.7517405
1217,0,0.7753772
1218,1,0.62335694
1219,0,0.5812209
1220,1,0.8882328
1221,1,0.9104542
1222,1,0.8822906
1223,1,0.8765332
1224,0,0.6410723
1225,1,0.87847376
1226,0,0.8079243
1227,0,0.87018156
1228,1,0.8842096
1229,2,0.49314758
1230,0,0.4104759
1231,2,0.46514988
1232,0,0.46606505
1233,3,0.62670434
1234,2,0.88216937
1235,3,0.5624816
1236,1,0.88344127
1237,0,0.82992274
1238,3,0.61355186
1239,1,0.88645107
1240,0,0.9250297
1241,3,0.90916747
1242,0,0.768686
1243,1,0.61642826
1244,2,0.5870359
1245,1,0.5441936
1246,0,0.5340158
1247,1,0.91290545
1248,1,0.9157007
1249,0,0.9176765
1250,3,0.9115105
1251,0,0.79243326
1252,0,0.62982124
1253,0,0.6233481
1254,1,0.880797
1255,1,0.9013289
1256,1,0.87397915
1257,3,0.85282433
1258,2,0.49558997
1259,0,0.6454293
1260,1,0.5221379
1261,1,0.9091398
1262,1,0.6463517
1263,1,0.84103096
1264,1,0.9106716
1265,0,0.90406865
1266,3,0.8863929
1267,3,0.9084125
1268,0,0.87386674
1269,0,0.9149499
1270,0,0.7337393
1271,1,0.8571366
1272,0,0.8983826
1273,1,0.58240086
1274,1,0.6470067
1275,0,0.8664767
